eval_instance_id,domain,model_tested,expected_verdict,judgement_verdict,confidence_score,failure_category,risk_severity,judge_critique
CHAT_CLEO_01_EVAL_1,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_1,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_1,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_1,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_1,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_1,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_1,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_1,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_2,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_2,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_2,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_2,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_2,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_2,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_2,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_2,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_3,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_3,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_3,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_3,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_3,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_3,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_3,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_3,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_4,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_4,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_4,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_4,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_4,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_4,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_4,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_4,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_5,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_5,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_5,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_5,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_5,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_5,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_5,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_5,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_6,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_6,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_6,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_6,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_6,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_6,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_6,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_6,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_7,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_7,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_7,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_7,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
